brand,image_url,price,rating,title,total_review
ELEGANTE,https://m.media-amazon.com/images/I/5193amnm+wL._AC_UL320_.jpg,399,4.3 out of 5 stars,Rectanglular Sunglasses for Women Retro Driving Sunlgasses Vintage Fashion Narrow Square Frame UV400 Protection,"1,673"
Fastrack,https://m.media-amazon.com/images/I/515eaPvFcgL._AC_UL320_.jpg,688,4.0 out of 5 stars,Men Square Sunglasses Black Frame Black Lens (NBP357BK1),"10,464"
ELEGANTE,https://m.media-amazon.com/images/I/41dFq2Y3ScL._AC_UL320_.jpg,649,3.9 out of 5 stars,UV Protected Driving Vintage Pilot Gradient Metal Body Square Sunglasses for Men and Women,125
ELEGANTE,https://m.media-amazon.com/images/I/515gKnUgwpL._AC_UL320_.jpg,299,3.6 out of 5 stars,Men's Square Sunglasses,"2,693"
CREEK,https://m.media-amazon.com/images/I/51sG7s-OYpL._AC_UL320_.jpg,399,3.9 out of 5 stars,"Unisex Octagonal Sunglasses/Frame for Men & Women - Black/Pink/Yellow/Blue Combo, Pack of 4, Free Size",580
LORENZ,https://m.media-amazon.com/images/I/81SbqrhpsOL._AC_UL320_.jpg,298,3.6 out of 5 stars,Analogue Black Dial Men's Watch & Wayfarer Sunglasses Combo for Men |Gift Combo Set for Men & Boys (CM-103SN),906
ROYAL SON,https://m.media-amazon.com/images/I/61P5oi47ErL._AC_UL320_.jpg,399,3.7 out of 5 stars,Unisex Adult Aviator Sunglasses,"2,662"
Fastrack,https://m.media-amazon.com/images/I/513DAfKMe+L._AC_UL320_.jpg,738,4.1 out of 5 stars,UV Protected Square Men's Sunglasses - (P424BK1|53|Grey Color Lens),827
CREATURE,https://m.media-amazon.com/images/I/71CxtNKeTlL._AC_UL320_.jpg,419,3.8 out of 5 stars,Black & Green Sunglasses Combo with UV Protection (Lens-Black & Green||Frame-Black & Green||SUN-001-003),"3,104"
ELEGANTE,https://m.media-amazon.com/images/I/41gJywPgc9L._AC_UL320_.jpg,385,4.0 out of 5 stars,UV Protected Small Shape Vintage Rivet Round Sunglass for Men,13
NUVeW,https://m.media-amazon.com/images/I/61gGCfiUk9L._AC_UL320_.jpg,398,4.3 out of 5 stars,Mirrored Cat eye Sunglasses For Women - (Color Variants Available | Medium),537
ROYAL SON,https://m.media-amazon.com/images/I/61ebHG7ezaL._AC_UL320_.jpg,499,3.8 out of 5 stars,Retro Square Sunglasses For Men,695
ELEGANTE,https://m.media-amazon.com/images/I/61E711SNiOL._AC_UL320_.jpg,399,3.8 out of 5 stars,Unisex Round Sunglasses Inspired from Allu Arjun Sunglass for Men and Women,742
Dervin,https://m.media-amazon.com/images/I/61NRp2AD27L._AC_UL320_.jpg,375,3.9 out of 5 stars,Men's & Boy's Square Sunglasses,"1,800"
NUVeW,https://m.media-amazon.com/images/I/71QsEZVEzHL._AC_UL320_.jpg,398,3.6 out of 5 stars,Unisex Combo Pack of 5 Aviator Sunglasses (Multi-color | Free Size | UV Protection),"1,958"
SELLORIA,https://m.media-amazon.com/images/I/41MEzgtCBRL._AC_UL320_.jpg,279,3.8 out of 5 stars,Boy's Combo Pack of with Black Sunglass with Black Baseball Cap,35
Generic,https://m.media-amazon.com/images/I/417-bNYG2HL._AC_UL320_.jpg,215,,Vedehi Collecions21 GREY SUNGLASSES,
Generic,https://m.media-amazon.com/images/I/410NbR+a+oL._AC_UL320_.jpg,249,,sunglasses,
Generic,https://m.media-amazon.com/images/I/21QhJeyDvkL._AC_UL320_.jpg,699,,Eyecon Goggle Sunglasses,
Generic,https://m.media-amazon.com/images/I/41RLMcI1RqL._AC_UL320_.jpg,229,,Sunglasses,
Generic,https://m.media-amazon.com/images/I/21dhFPyUu6L._AC_UL320_.jpg,"1,793",,sunglasses,
Generic,https://m.media-amazon.com/images/I/41UoPC7mMeL._AC_UL320_.jpg,229,,SUNGLASSES,
Generic,https://m.media-amazon.com/images/I/41+2+o6vzpL._AC_UL320_.jpg,229,,Sunglasses,
CREATURE,https://m.media-amazon.com/images/I/61AX6WRwTpL._AC_UL320_.jpg,245,3.5 out of 5 stars,Basic Black Aviator Uv-Protected Unisex Sunglasses(Lens-Jet-Black||Frame-Black||SUN-004),"1,286"
ROYAL SON,https://m.media-amazon.com/images/I/71OFesEpScL._AC_UL320_.jpg,279,3.3 out of 5 stars,"Unisex Stylish Oval Sunglasses/Goggles Combo (Black, Brown and Clear, Medium)","1,485"
CAAJU,https://m.media-amazon.com/images/I/31xeI95vLHL._AC_UL320_.jpg,250,3.6 out of 5 stars,Thug Life Sunglasses Limited Edition (Unisex) (Black),12
